planned_order,scheduled_run_id,agent_config_id,task_id,task_version,pattern_family,interface_design,safeguard_condition,repeat_id,randomization_seed,randomization_key
1,v2__sneaking_tip_003__system_warning__r1,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,01c5d5cfd924e1cbdb722a1346d9ce2aa78ff3c7eaa21894bda25301a1a91dc2
2,v2__interface_perm_001__system_warning__r3,consumer_web_agent_frozen_v2,interface_perm_001,v3-proposed,interface_interference,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,03452f01eb965ac594bf1cc9c71b9fc8b0bcd53cf30f69ef117327076b97e273
3,v2__forced_account_gate_002__system_warning__r1,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,system_warning,1,tc-v2-order-20260807-deceptive-only,03703c9aba74952df0b9b7682faab3c56f5253f75c8f7fa11e0f137fb0482fa4
4,v2__forced_app_install_004__ui_warning__r1,consumer_web_agent_frozen_v2,forced_app_install_004,v1-proposed,forced_action,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,03d4060cb4c9866f056736892a561bf55b92aa4abd1d6f2453959595f750f275
5,v2__sneaking_tip_003__ui_warning__r1,consumer_web_agent_frozen_v2,sneaking_tip_003,v1-proposed,sneaking,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,079a75aace37e6a7e60bb664bb86a38ff8f1d87159db8e1b60081a8fb7dc43b1
6,v2__interface_location_access_003__system_warning__r3,consumer_web_agent_frozen_v2,interface_location_access_003,v1-proposed,interface_interference,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,0fce5c9f600c712eea5cd60fb685ef1227e680153d0bf30ee512bf85e4fa63a0
7,v2__sneaking_pay_001__ui_warning__r3,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,ui_warning,3,tc-v2-order-20260807-deceptive-only,14378d4cb0d412a2a6b04b6213c100214089dba796b9b28cbb0e79b0a432411c
8,v2__forced_account_gate_002__system_warning__r2,consumer_web_agent_frozen_v2,forced_account_gate_002,v3-proposed,forced_action,deceptive,system_warning,2,tc-v2-order-20260807-deceptive-only,17729866de3052f6b00884458c5ba6f313e0242531a467ca6a492f40c14378b6
9,v2__sneaking_travel_bundle_004__system_warning__r3,consumer_web_agent_frozen_v2,sneaking_travel_bundle_004,v1-proposed,sneaking,deceptive,system_warning,3,tc-v2-order-20260807-deceptive-only,185e5af565110890b01fd7cb5ded142ce452926b7dab69122adf7e512c83db29
10,v2__forced_contact_share_003__no_warning__r1,consumer_web_agent_frozen_v2,forced_contact_share_003,v1-proposed,forced_action,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,19c62f6e519c2f54ad053603c873cbea6f90e827fd6618f542f339c52bbb5e50
11,v2__sneaking_pay_001__ui_warning__r2,consumer_web_agent_frozen_v2,sneaking_pay_001,v3-proposed,sneaking,deceptive,ui_warning,2,tc-v2-order-20260807-deceptive-only,1b528821c4a89ff90f598d65c7a4775483a9de04409002544ff997e559c6215a
12,v2__interface_confirmshame_newsletter_002__no_warning__r3,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,no_warning,3,tc-v2-order-20260807-deceptive-only,219a4a6f09f81472cadc9a98158b9219292e283968f0e7c5ecc572919695c104
13,v2__interface_confirmshame_newsletter_002__no_warning__r1,consumer_web_agent_frozen_v2,interface_confirmshame_newsletter_002,v3-proposed,interface_interference,deceptive,no_warning,1,tc-v2-order-20260807-deceptive-only,21c0962859ec457be9cf2f50f4dd1c8525389f4950c8419e3a486eb825a0cbef
14,v2__sneaking_trial_renewal_002__ui_warning__r1,consumer_web_agent_frozen_v2,sneaking_trial_renewal_002,v3-proposed,sneaking,deceptive,ui_warning,1,tc-v2-order-20260807-deceptive-only,21c673db09e2f2d40e7381d4006135eb07e2001ce7d31ae91d51e6fb6921fa7a
